:Player:Pos:FG%:3P%:2P%:FT%:ORB:DRB:TRB:AST:STL:BLK:TOV:PTS:ORtg:DRtg:3PAr:BPM:DBPM:DRB%:DWS:FTr:OBPM:ORB%:OWS:PER:STL%:TOV%:TRB%:TS%:USG%:VORP:WS:WS/48:HEIGHT:WEIGHT:Cluster:Salaries
26:Malik Beasley:2:0.474:0.402:0.56:0.848:0.9:4.3:5.2:2.5:1.4:0.3:1.4:24.0:117.0:112.0:0.55:-0.5:-1.9:9.5:1.6:0.09:1.4:2.0:2.9:14.2:1.4:6.7:5.8:0.599:18.7:0.7:4.5:0.115:195.6:195.0:3:2731714
27:Marco Belinelli:2:0.413:0.372:0.468:0.903:0.4:4.9:5.3:3.6:0.9:0.2:1.9:22.3:109.0:114.0:0.572:-2.1:-2.4:10.8:1.1:0.18:0.3:1.0:1.4:11.9:0.9:8.8:5.9:0.557:19.8:0.0:2.5:0.065:195.6:210.0:3:5846154
28:Jordan Bell:5:0.516:0.0:0.521:0.61:3.3:7.8:11.1:4.6:1.2:3.1:2.5:13.5:109.0:108.0:0.01:-0.4:2.8:16.7:1.1:0.214:-3.1:7.8:0.5:12.9:1.2:16.7:12.5:0.531:13.7:0.3:1.6:0.096:205.7:224.0:6:1620564
29:DeAndre' Bembry:2:0.446:0.289:0.508:0.64:1.3:7.3:8.6:4.8:2.5:1.0:3.4:16.4:97.0:112.0:0.281:-2.2:1.1:16.9:1.7:0.221:-3.3:2.9:-0.9:10.8:2.5:17.4:9.7:0.508:17.2:-0.1:0.9:0.022:198.1:210.0:5:2603982
30:Dragan Bender:4:0.447:0.218:0.688:0.593:2.0:8.6:10.6:3.2:1.0:1.3:2.1:13.3:102.0:115.0:0.513:-3.4:-0.3:20.3:0.4:0.274:-3.1:4.5:0.0:9.5:1.0:14.4:12.3:0.521:13.4:-0.3:0.5:0.027:215.9:225.0:2:1678854
31:Patrick Beverley:1:0.407:0.397:0.421:0.78:1.7:6.9:8.6:6.6:1.5:0.9:1.9:13.2:119.0:111.0:0.591:2.3:1.2:15.0:2.0:0.258:1.2:3.9:2.8:11.8:1.5:13.8:9.6:0.561:12.2:2.3:4.8:0.108:185.4:185.0:0:12345679
32:Khem Birch:5:0.603:0.0:0.607:0.699:6.0:8.4:14.5:2.9:1.4:2.2:1.5:18.3:134.0:106.0:0.007:2.4:2.3:18.8:1.0:0.55:0.2:13.0:1.8:19.2:1.4:9.6:15.8:0.64:14.1:0.7:2.8:0.212:205.7:233.0:4:3000000
33:Bismack Biyombo:5:0.571:0.0:0.571:0.637:5.0:10.3:15.3:2.0:0.7:2.5:2.1:14.7:121.0:110.0:0.0:-1.1:1.5:23.3:0.8:0.583:-2.5:11.0:1.2:14.4:0.7:14.8:17.0:0.602:12.7:0.2:2.0:0.125:205.7:255.0:1:17000000
34:Nemanja Bjelica:4:0.479:0.401:0.539:0.761:3.3:8.3:11.6:3.8:1.4:1.5:2.1:19.3:117.0:110.0:0.433:2.0:1.2:18.8:1.9:0.155:0.8:7.0:2.7:15.4:1.4:11.5:12.8:0.585:16.5:1.8:4.5:0.122:208.3:234.0:4:6825000
35:Eric Bledsoe:1:0.484:0.329:0.582:0.75:1.7:5.7:7.4:8.8:2.4:0.6:3.4:25.4:116.0:105.0:0.388:3.5:1.0:11.8:3.7:0.243:2.5:3.9:4.4:19.3:2.4:13.3:8.1:0.577:22.9:3.2:8.2:0.173:185.4:205.0:3:15625000
